TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
2.090000 3.825904 7052.633789 4704.445312 8479.751953
2.090000 3.930723 7212.194824 3479.296875 8007.604492
2.090000 4.035542 6391.372070 3429.359375 7253.374023
2.090000 4.140361 6200.122070 4139.870605 7455.520508
2.090000 4.245181 6974.334961 4383.723145 8238.685547
2.090000 4.350000 7150.743164 4058.719238 8222.418945
2.090000 4.454819 6377.620117 3967.621094 7511.203125
2.090000 4.559639 6185.955078 4179.142578 7466.432129
2.090000 4.664458 6889.163086 4078.334961 8007.073242
2.090000 4.769277 7057.296875 4042.216553 8133.086914
2.090000 4.874096 6355.397461 4055.855469 7539.403320
2.090000 4.978916 6124.198242 4241.136719 7450.381836
2.090000 5.083735 6742.199219 4180.366211 7934.318359
2.090000 5.188554 7290.350586 3759.972656 8204.040039
2.090000 5.293373 7553.530273 2946.841064 8108.093750
2.090000 5.398193 7520.729492 3312.230469 8218.252930
2.090000 5.503012 7716.183105 3871.445312 8634.367188
2.090000 5.607831 7858.538574 3470.345459 8591.486328
2.090000 5.712651 7848.751953 3190.121826 8472.494141
2.090000 5.817470 7851.489258 3436.246338 8570.705078
2.090000 5.922289 7831.485352 3881.836914 8742.152344
2.090000 6.027108 7826.828125 3455.518066 8556.539062
2.090000 6.131928 7807.171875 3165.000000 8424.503906
2.090000 6.236747 7794.072266 3996.432129 8759.779297
2.090000 6.341566 7776.480957 3847.230713 8677.796875
2.090000 6.446386 7762.291992 3397.486816 8474.162109
2.090000 6.551205 3879.478516 3081.429199 4954.493164
2.090000 6.656024 442.634216 3966.484863 3991.526367
2.090000 6.760843 1383.864502 3831.726318 4075.483643
2.090000 6.865663 2416.704102 3328.566895 4114.861328
2.090000 6.970482 3434.481934 2820.931396 4445.912109
2.090000 7.075301 4406.757812 3076.241699 5375.837891
2.090000 7.180120 5319.149414 3044.561279 6130.856445
2.090000 7.284940 6192.759766 3214.351562 6978.551758
2.090000 7.389759 6929.103516 3107.347656 7595.579590
2.090000 7.494578 7428.669922 3444.643555 8189.430664
2.090000 7.599398 7614.586914 3390.484375 8336.638672
2.090000 7.704217 6673.545410 3081.629639 7355.849609
2.090000 7.809036 6520.240723 2968.067383 7168.291504
2.090000 7.913855 7095.106445 3321.345703 7835.110840
2.090000 8.018675 7069.833984 3265.405273 7788.959473
2.090000 8.123494 7111.925293 2952.630371 7701.880859
2.090000 8.228313 6996.357910 2832.702637 7549.806641
2.090000 8.333133 7117.211914 3583.424561 7969.413574
2.090000 8.437952 3834.815918 3592.857422 5257.541016
2.090000 8.542771 907.425049 3504.795410 3620.829346
2.090000 8.647590 0.000000 0.000000 0.000000
2.216667 0.052410 0.000000 0.000000 0.000000
2.216667 0.157229 2335.513916 3676.188477 4357.005371
2.216667 0.262048 814.097778 3295.735352 3395.333008
2.216667 0.366867 1723.721313 3329.906738 3751.377441
2.216667 0.471687 2706.435059 2907.021729 3973.437256
2.216667 0.576506 3723.503906 2606.340820 4547.500000
2.216667 0.681325 2261.312012 2634.463867 3473.680664
2.216667 0.786145 707.398926 2868.632324 2954.617676
2.216667 0.890964 1618.724854 2240.214111 2766.027100
2.216667 0.995783 2617.013672 4000.313965 4783.467773
2.216667 1.100602 3622.450195 3427.280029 4988.247070
2.216667 1.205422 2152.326660 3903.332031 4460.685059
2.216667 1.310241 603.456848 3597.966064 3648.613770
2.216667 1.415060 1523.802490 3485.541504 3805.894775
2.216667 1.519880 2523.504395 3726.875488 4502.047852
2.216667 1.624699 3540.978271 3576.857910 5034.457520
2.216667 1.729518 2069.906494 3341.167480 3931.630371
2.216667 1.834337 485.811096 3113.390137 3151.633789
2.216667 1.939157 1408.849365 2672.700195 3021.680664
2.216667 2.043976 2426.872314 3025.421387 3880.166260
2.216667 2.148795 3440.058594 3740.220703 5088.921875
2.216667 2.253614 3804.937744 2506.034180 4561.087891
2.216667 2.358434 2224.778320 2674.816650 3499.077393
2.216667 2.463253 1314.568359 4047.103027 4255.875488
2.216667 2.568072 2346.046875 2725.753906 3598.595215
2.216667 2.672892 3374.310303 2954.548828 4486.603027
2.216667 2.777711 4348.368652 3390.354004 5514.992676
2.216667 2.882530 2755.309570 3305.033447 4304.369141
2.216667 2.987349 1239.117188 3191.884277 3424.736816
2.216667 3.092169 2280.301758 3338.092285 4044.057617
2.216667 3.196988 3320.243164 3301.616211 4683.579102
2.216667 3.301807 4303.122559 3411.219482 5492.692871
2.216667 3.406627 6267.313965 3335.315430 7100.461426
2.216667 3.511446 7450.745117 3208.445801 8112.210938
2.216667 3.616265 6478.269043 3423.489990 7327.534180
